id,typ,upplåtelseform,pris,avgift,rum,boyta,kvadratmeterpris,område,stad,adress,lat,lon,tillgänglig,created_at,valuta,boyta_enhet,pris_per_kvm
183,lägenhet,köpa,5272090,4391,3,81,65087,Majorna,Göteborg,Parkvägen 67,57.69203,11.92567,False,2026-02-05,SEK,m²,65088.0
184,lägenhet,hyra,8730,0,3,63,0,Hisingen,Göteborg,Hornsgatan 7,57.73694,11.90736,True,2025-07-20,SEK,m²,139.0
185,lägenhet,hyra,14182,0,4,92,0,Majorna,Göteborg,Björkgatan 35,57.69453,11.93448,True,2026-01-08,SEK,m²,154.0
186,hus,köpa,14629550,2071,5,140,104496,Sundbyberg,Stockholm,Sveavägen 55,59.35709,17.96265,True,2026-01-23,SEK,m²,104497.0
187,lägenhet,hyra,14508,0,3,84,0,Linnéstaden,Göteborg,Drottninggatan 27,57.69391,11.94997,True,2025-07-30,SEK,m²,173.0
188,lägenhet,köpa,10487174,7125,4,104,100838,Spånga,Stockholm,Drottninggatan 118,59.391,17.8932,True,2025-06-06,SEK,m²,100838.0
189,lägenhet,hyra,17355,0,6,132,0,Farsta,Stockholm,Bergsgatan 39,59.24364,18.08857,True,2026-01-09,SEK,m²,131.0
190,hus,köpa,1017862,2414,1,19,53571,Linnéstaden,Göteborg,Bergsgatan 27,57.69256,11.94244,False,2025-08-13,SEK,m²,53572.0
191,hus,köpa,3180010,1592,1,24,132500,Vasastan,Stockholm,Hornsgatan 9,59.34096,18.04463,True,2025-06-22,SEK,m²,132500.0
192,lägenhet,hyra,5826,0,2,38,0,Västra Hamnen,Malmö,Lindvägen 119,55.60516,12.97205,True,2026-01-07,SEK,m²,153.0
193,hus,köpa,7486891,3677,6,150,49912,Västra Hamnen,Malmö,Parkvägen 88,55.61338,12.98007,True,2025-09-04,SEK,m²,49913.0
194,lägenhet,köpa,1585834,3501,2,50,31716,Hyllie,Malmö,Storgatan 67,55.55454,12.97721,True,2026-02-11,SEK,m²,31717.0
195,lägenhet,köpa,8203422,5550,4,80,102542,Hägersten,Stockholm,Sveavägen 51,59.29582,17.99522,False,2025-04-16,SEK,m²,102543.0
196,hus,köpa,7715691,4450,4,76,101522,Farsta,Stockholm,Lindvägen 62,59.24711,18.09652,True,2025-05-25,SEK,m²,101522.0
197,hus,köpa,2912571,3434,4,88,33097,Limhamn,Malmö,Drottninggatan 42,55.57789,12.93868,True,2025-05-01,SEK,m²,33097.0
198,lägenhet,hyra,14319,0,5,100,0,Spånga,Stockholm,Lindvägen 23,59.37936,17.90241,True,2026-01-19,SEK,m²,143.0
199,lägenhet,köpa,1528538,1189,1,18,84918,Lidingö,Stockholm,Kyrkogatan 38,59.36822,18.14148,True,2025-04-13,SEK,m²,84919.0
200,lägenhet,köpa,5155521,5952,6,114,45223,Limhamn,Malmö,Björkgatan 67,55.57893,12.93656,True,2025-07-05,SEK,m²,45224.0
201,lägenhet,köpa,1845206,1914,2,38,48558,Hisingen,Göteborg,Sveavägen 110,57.7313,11.90095,True,2026-02-01,SEK,m²,48558.0
202,hus,köpa,6371111,3715,6,156,40840,Västra Hamnen,Malmö,Parkvägen 18,55.60618,12.98262,True,2025-10-25,SEK,m²,40840.0
203,lägenhet,köpa,3899623,6882,5,115,33909,Västra Hamnen,Malmö,Sveavägen 66,55.61667,12.96752,False,2025-06-22,SEK,m²,33910.0
204,lägenhet,köpa,3623356,2510,2,50,72467,Linnéstaden,Göteborg,Bergsgatan 120,57.70224,11.95906,True,2026-01-10,SEK,m²,72467.0
205,lägenhet,köpa,12032855,7274,6,138,87194,Bromma,Stockholm,Sveavägen 84,59.33945,17.94927,True,2025-05-30,SEK,m²,87195.0
206,hus,köpa,10278028,2270,6,108,95166,Kungsholmen,Stockholm,Kyrkogatan 115,59.33386,18.0223,False,2025-10-10,SEK,m²,95167.0
207,lägenhet,köpa,7394417,5636,3,75,98592,Bromma,Stockholm,Strandvägen 12,59.33018,17.94833,True,2025-07-05,SEK,m²,98592.0
208,hus,köpa,1702774,1925,1,25,68110,Centrum,Göteborg,Skolvägen 62,57.69953,11.98301,False,2025-04-30,SEK,m²,68111.0
209,lägenhet,köpa,2801838,1790,1,27,103771,Vasastan,Stockholm,Kyrkogatan 81,59.33781,18.04622,True,2025-05-28,SEK,m²,103772.0
210,hus,köpa,6036306,3957,3,66,91459,Farsta,Stockholm,Hornsgatan 24,59.24069,18.09698,True,2025-05-26,SEK,m²,91459.0
211,hus,köpa,10035365,2175,4,100,100353,Sundbyberg,Stockholm,Drottninggatan 65,59.35869,17.97409,True,2026-01-04,SEK,m²,100354.0
212,lägenhet,köpa,1932510,3031,2,46,42011,Rosengård,Malmö,Kyrkogatan 117,55.59327,13.0389,True,2026-01-21,SEK,m²,42011.0
213,hus,köpa,2750203,4210,1,23,119574,Vasastan,Stockholm,Bergsgatan 95,59.34639,18.03988,True,2025-07-18,SEK,m²,119574.0
214,hus,köpa,7858975,3441,5,95,82726,Spånga,Stockholm,Parkvägen 34,59.37635,17.90988,True,2025-12-14,SEK,m²,82726.0
215,lägenhet,hyra,5755,0,2,46,0,Hisingen,Göteborg,Bergsgatan 73,57.73645,11.90833,True,2025-05-19,SEK,m²,125.0
216,hus,köpa,3284642,1668,2,56,58654,Hisingen,Göteborg,Björkgatan 14,57.73415,11.9056,True,2026-03-23,SEK,m²,58654.0
217,lägenhet,hyra,21147,0,6,144,0,Nacka,Stockholm,Bergsgatan 11,59.3129,18.15944,True,2025-06-24,SEK,m²,147.0
218,lägenhet,köpa,7875825,9864,6,144,54693,Linnéstaden,Göteborg,Bergsgatan 55,57.69862,11.9571,True,2025-12-01,SEK,m²,54693.0
219,hus,köpa,1438914,1611,1,26,55342,Linnéstaden,Göteborg,Kungsgatan 100,57.68851,11.94622,True,2025-07-11,SEK,m²,55343.0
220,hus,köpa,3253005,2513,4,92,35358,Västra Hamnen,Malmö,Strandvägen 59,55.61122,12.97641,True,2025-09-14,SEK,m²,35359.0
221,lägenhet,köpa,1017903,1589,1,21,48471,Hisingen,Göteborg,Lindvägen 20,57.73836,11.89601,False,2025-06-22,SEK,m²,48472.0
222,hus,köpa,7643727,3495,3,78,97996,Farsta,Stockholm,Kyrkogatan 99,59.24076,18.10285,False,2026-03-25,SEK,m²,97996.0
223,hus,köpa,1023863,3953,1,28,36566,Rosengård,Malmö,Kungsgatan 70,55.59228,13.02892,True,2025-10-11,SEK,m²,36567.0
224,hus,köpa,1952748,2963,1,21,92988,Vasastan,Stockholm,Drottninggatan 10,59.34191,18.05686,True,2026-04-07,SEK,m²,92988.0
225,hus,köpa,6058654,3936,5,100,60586,Linnéstaden,Göteborg,Parkvägen 6,57.6981,11.9463,False,2025-09-03,SEK,m²,60587.0
226,hus,köpa,2110037,1646,3,57,37018,Rosengård,Malmö,Lindvägen 52,55.59604,13.03495,True,2025-07-06,SEK,m²,37018.0
227,hus,köpa,2828580,4194,4,76,37218,Rosengård,Malmö,Björkgatan 112,55.58232,13.03114,True,2026-01-18,SEK,m²,37218.0
228,hus,köpa,8233825,4139,4,104,79171,Farsta,Stockholm,Storgatan 42,59.24714,18.08739,False,2025-12-20,SEK,m²,79171.0
229,lägenhet,hyra,5668,0,2,38,0,Hisingen,Göteborg,Kungsgatan 68,57.73164,11.90814,True,2026-03-01,SEK,m²,149.0
230,hus,köpa,3914388,1662,4,76,51505,Limhamn,Malmö,Björkgatan 110,55.58587,12.93525,True,2025-06-10,SEK,m²,51505.0
231,lägenhet,köpa,7978092,3655,3,63,126636,Lidingö,Stockholm,Hornsgatan 85,59.36919,18.14445,True,2025-08-02,SEK,m²,126636.0
232,hus,köpa,7558481,2562,6,156,48451,Rosengård,Malmö,Lindvägen 78,55.58559,13.03962,True,2025-12-24,SEK,m²,48452.0
233,lägenhet,hyra,16434,0,4,108,0,Majorna,Göteborg,Hornsgatan 111,57.69407,11.93958,True,2026-01-31,SEK,m²,152.0
234,hus,köpa,12991149,4431,5,115,112966,Sundbyberg,Stockholm,Lindvägen 102,59.36959,17.9742,False,2025-12-01,SEK,m²,112967.0
235,lägenhet,köpa,8311860,8978,6,150,55412,Majorna,Göteborg,Strandvägen 108,57.70156,11.9403,True,2026-03-16,SEK,m²,55412.0
236,lägenhet,köpa,4236143,5438,3,78,54309,Centrum,Göteborg,Lindvägen 61,57.71631,11.97313,True,2026-03-07,SEK,m²,54310.0
237,hus,köpa,4891494,1754,2,46,106336,Farsta,Stockholm,Sveavägen 15,59.23911,18.09225,True,2025-09-02,SEK,m²,106337.0
238,hus,hyra,9465,0,3,69,0,Västra Hamnen,Malmö,Kyrkogatan 116,55.61919,12.97452,True,2025-07-09,SEK,m²,137.0
239,hus,köpa,12023760,3099,5,95,126565,Solna,Stockholm,Bergsgatan 68,59.36212,18.00927,True,2025-08-07,SEK,m²,126566.0
240,hus,köpa,5648592,2396,6,120,47071,Limhamn,Malmö,Parkvägen 62,55.57605,12.92577,False,2026-03-23,SEK,m²,47072.0
241,lägenhet,köpa,2741080,2718,2,36,76141,Nacka,Stockholm,Bergsgatan 42,59.31982,18.15488,True,2025-08-21,SEK,m²,76141.0
242,lägenhet,hyra,10727,0,4,80,0,Vasastan,Stockholm,Sveavägen 89,59.35055,18.05598,False,2025-10-22,SEK,m²,134.0
243,lägenhet,köpa,3062117,2921,2,42,72907,Centrum,Göteborg,Strandvägen 113,57.70631,11.9822,True,2025-06-27,SEK,m²,72908.0
244,hus,köpa,3357907,2336,4,72,46637,Centrum,Göteborg,Skolvägen 59,57.71875,11.97204,True,2026-03-20,SEK,m²,46638.0
245,hus,köpa,8283414,1756,6,156,53098,Rosengård,Malmö,Parkvägen 113,55.58876,13.03645,True,2025-09-26,SEK,m²,53099.0
246,lägenhet,hyra,12019,0,4,80,0,Linnéstaden,Göteborg,Skolvägen 39,57.70441,11.95969,True,2025-09-24,SEK,m²,150.0
247,lägenhet,hyra,6313,0,2,38,0,Bromma,Stockholm,Strandvägen 60,59.33588,17.93082,True,2025-11-07,SEK,m²,166.0
248,lägenhet,köpa,4860429,5100,4,108,45003,Centrum,Göteborg,Drottninggatan 117,57.70168,11.9804,True,2025-09-05,SEK,m²,45004.0
249,lägenhet,köpa,17183538,8486,5,140,122739,Kungsholmen,Stockholm,Parkvägen 96,59.33447,18.03711,True,2025-09-27,SEK,m²,122740.0
250,lägenhet,köpa,3349415,1193,1,26,128823,Bromma,Stockholm,Björkgatan 52,59.32843,17.93776,True,2025-06-20,SEK,m²,128824.0
251,lägenhet,köpa,11639269,9433,6,156,74610,Linnéstaden,Göteborg,Sveavägen 95,57.69212,11.95964,False,2026-01-08,SEK,m²,74611.0
252,hus,köpa,2807727,2659,2,38,73887,Linnéstaden,Göteborg,Skolvägen 10,57.69534,11.94299,True,2026-02-05,SEK,m²,73888.0
253,hus,köpa,1014034,3276,1,22,46092,Majorna,Göteborg,Sveavägen 74,57.70622,11.94193,False,2026-02-26,SEK,m²,46092.0
254,lägenhet,köpa,2763049,2696,2,52,53135,Hyllie,Malmö,Kyrkogatan 67,55.55919,12.97363,False,2025-08-17,SEK,m²,53136.0
255,lägenhet,hyra,3286,0,1,27,0,Majorna,Göteborg,Kungsgatan 85,57.69096,11.93532,True,2025-06-17,SEK,m²,122.0
256,hus,köpa,3886295,3086,4,100,38862,Rosengård,Malmö,Hornsgatan 105,55.58268,13.03432,True,2026-03-11,SEK,m²,38863.0
257,hus,köpa,11506513,4445,6,156,73759,Hisingen,Göteborg,Hornsgatan 48,57.73405,11.89543,True,2026-03-29,SEK,m²,73760.0
258,hus,köpa,1508878,2522,1,22,68585,Centrum,Göteborg,Strandvägen 81,57.70968,11.96632,True,2025-06-27,SEK,m²,68585.0
259,hus,köpa,6779193,1577,5,105,64563,Hisingen,Göteborg,Hornsgatan 52,57.72403,11.90829,True,2026-01-26,SEK,m²,64564.0
260,hus,köpa,4431391,2535,5,95,46646,Hisingen,Göteborg,Drottninggatan 101,57.72668,11.89315,True,2025-06-02,SEK,m²,46646.0
261,lägenhet,köpa,10784078,12053,6,156,69128,Majorna,Göteborg,Kungsgatan 24,57.70179,11.93159,True,2025-08-06,SEK,m²,69129.0
262,lägenhet,köpa,8699097,4045,5,95,91569,Bromma,Stockholm,Sveavägen 113,59.34543,17.94279,True,2025-10-01,SEK,m²,91569.0
263,lägenhet,köpa,2170103,3808,3,63,34446,Rosengård,Malmö,Kyrkogatan 62,55.59564,13.03086,True,2025-04-24,SEK,m²,34446.0
264,hus,köpa,10301122,3961,5,100,103011,Kungsholmen,Stockholm,Kungsgatan 105,59.32672,18.03512,False,2025-12-04,SEK,m²,103011.0
265,hus,köpa,6277646,3120,4,84,74733,Linnéstaden,Göteborg,Sveavägen 39,57.69451,11.94958,False,2026-03-13,SEK,m²,74734.0
266,lägenhet,köpa,4334548,3001,2,44,98512,Vasastan,Stockholm,Kyrkogatan 40,59.34587,18.05435,True,2025-04-09,SEK,m²,98512.0
267,hus,köpa,2658594,1606,2,50,53171,Rosengård,Malmö,Skolvägen 116,55.58252,13.03382,True,2025-07-01,SEK,m²,53172.0
268,hus,köpa,1675034,2612,1,24,69793,Linnéstaden,Göteborg,Sveavägen 118,57.69937,11.95724,True,2026-02-18,SEK,m²,69793.0
269,lägenhet,köpa,3062650,1655,2,36,85073,Solna,Stockholm,Storgatan 74,59.36795,18.00705,True,2026-01-10,SEK,m²,85074.0
270,lägenhet,köpa,9034760,8774,6,132,68445,Linnéstaden,Göteborg,Kungsgatan 100,57.70295,11.95174,True,2025-07-29,SEK,m²,68445.0
271,lägenhet,hyra,13146,0,4,76,0,Vasastan,Stockholm,Lindvägen 64,59.34593,18.04237,True,2025-05-19,SEK,m²,173.0
272,lägenhet,köpa,799044,1457,1,21,38049,Limhamn,Malmö,Hornsgatan 115,55.59417,12.92266,True,2026-02-27,SEK,m²,38050.0
273,lägenhet,köpa,810508,1369,1,20,40525,Västra Hamnen,Malmö,Drottninggatan 5,55.60928,12.96919,True,2025-12-16,SEK,m²,40525.0
274,hus,köpa,11396692,3766,4,88,129507,Vasastan,Stockholm,Bergsgatan 93,59.33683,18.04957,True,2025-05-08,SEK,m²,129508.0
275,lägenhet,köpa,4953922,3961,2,54,91739,Södermalm,Stockholm,Drottninggatan 16,59.31293,18.07737,True,2025-05-01,SEK,m²,91739.0
276,lägenhet,köpa,9431036,10193,6,150,62873,Centrum,Göteborg,Sveavägen 42,57.71053,11.98158,True,2025-07-26,SEK,m²,62874.0
277,lägenhet,köpa,1794151,1211,1,20,89707,Spånga,Stockholm,Kyrkogatan 81,59.38742,17.89791,False,2026-01-26,SEK,m²,89708.0
278,lägenhet,hyra,15676,0,4,112,0,Limhamn,Malmö,Kyrkogatan 72,55.59123,12.93589,True,2025-09-26,SEK,m²,140.0
279,hus,köpa,8689452,3098,5,130,66841,Centrum,Göteborg,Strandvägen 38,57.70763,11.9842,True,2026-03-21,SEK,m²,66842.0
280,hus,köpa,3710448,4370,4,96,38650,Rosengård,Malmö,Kungsgatan 8,55.5914,13.02275,True,2025-04-19,SEK,m²,38650.0
281,lägenhet,hyra,5276,0,2,40,0,Hyllie,Malmö,Skolvägen 105,55.56799,12.96863,False,2026-02-13,SEK,m²,132.0
282,hus,köpa,2163237,1558,2,40,54080,Centrum,Göteborg,Strandvägen 109,57.71598,11.98353,True,2026-03-17,SEK,m²,54081.0
283,hus,köpa,5805018,3467,6,126,46071,Linnéstaden,Göteborg,Hornsgatan 15,57.70006,11.95903,True,2025-12-09,SEK,m²,46072.0
284,hus,köpa,7061557,2786,4,92,76756,Linnéstaden,Göteborg,Bergsgatan 20,57.70629,11.95135,False,2025-10-24,SEK,m²,76756.0
285,hus,köpa,9019509,2747,5,125,72156,Centrum,Göteborg,Strandvägen 48,57.71021,11.9711,True,2026-04-06,SEK,m²,72156.0
286,hus,köpa,9269890,3767,4,88,105339,Hägersten,Stockholm,Kyrkogatan 6,59.29819,18.00629,False,2025-06-08,SEK,m²,105340.0
287,hus,köpa,7069435,1692,5,125,56555,Hisingen,Göteborg,Parkvägen 49,57.72098,11.90678,True,2025-09-02,SEK,m²,56555.0
288,hus,köpa,3605636,2646,4,88,40973,Västra Hamnen,Malmö,Hornsgatan 36,55.62034,12.98018,False,2025-10-03,SEK,m²,40973.0
289,lägenhet,köpa,4063518,5360,5,125,32508,Hyllie,Malmö,Parkvägen 51,55.55391,12.98431,True,2025-08-17,SEK,m²,32508.0
290,hus,köpa,1579902,3580,2,46,34345,Limhamn,Malmö,Sveavägen 13,55.59473,12.93176,True,2025-11-12,SEK,m²,34346.0
291,lägenhet,köpa,1397888,1381,1,20,69894,Linnéstaden,Göteborg,Strandvägen 20,57.68768,11.95107,True,2025-11-27,SEK,m²,69894.0
292,lägenhet,hyra,10935,0,3,72,0,Majorna,Göteborg,Parkvägen 55,57.69137,11.93864,True,2025-09-26,SEK,m²,152.0
293,lägenhet,köpa,1590378,1732,1,24,66265,Centrum,Göteborg,Hornsgatan 45,57.70345,11.98194,True,2026-02-17,SEK,m²,66266.0
294,hus,köpa,7538454,2567,3,63,119658,Spånga,Stockholm,Kungsgatan 90,59.38216,17.90153,True,2026-01-25,SEK,m²,119658.0
295,hus,köpa,1278262,3814,1,28,45652,Hyllie,Malmö,Sveavägen 6,55.55688,12.97568,False,2025-10-31,SEK,m²,45652.0
296,hus,köpa,14019000,2393,5,110,127445,Vasastan,Stockholm,Bergsgatan 35,59.33663,18.05499,False,2025-06-25,SEK,m²,127445.0
297,hus,köpa,3149695,3829,2,44,71583,Majorna,Göteborg,Drottninggatan 106,57.70776,11.93921,True,2025-07-05,SEK,m²,71584.0
298,hus,köpa,5366492,3016,2,54,99379,Hägersten,Stockholm,Sveavägen 92,59.30775,18.00179,True,2026-03-13,SEK,m²,99379.0
299,hus,köpa,6590292,3437,5,125,52722,Västra Hamnen,Malmö,Sveavägen 104,55.62275,12.98335,True,2025-06-21,SEK,m²,52722.0
300,lägenhet,hyra,14305,0,4,104,0,Nacka,Stockholm,Storgatan 32,59.30574,18.17253,True,2025-11-24,SEK,m²,138.0
301,lägenhet,hyra,3801,0,1,23,0,Hyllie,Malmö,Skolvägen 75,55.57055,12.97495,False,2025-10-08,SEK,m²,165.0
302,lägenhet,köpa,673959,1306,1,18,37442,Västra Hamnen,Malmö,Kungsgatan 9,55.60595,12.97715,True,2025-12-29,SEK,m²,37442.0
303,lägenhet,köpa,14172724,7976,6,156,90850,Farsta,Stockholm,Bergsgatan 76,59.23726,18.09675,True,2026-04-06,SEK,m²,90851.0
304,lägenhet,hyra,3905,0,1,22,0,Lidingö,Stockholm,Hornsgatan 8,59.36592,18.14527,True,2025-09-30,SEK,m²,178.0
305,hus,köpa,4087670,2619,4,100,40876,Västra Hamnen,Malmö,Drottninggatan 40,55.61338,12.98402,True,2026-01-21,SEK,m²,40877.0
306,lägenhet,hyra,15621,0,5,105,0,Linnéstaden,Göteborg,Storgatan 57,57.70269,11.94579,True,2026-01-08,SEK,m²,149.0
307,hus,köpa,11371460,4010,5,90,126349,Hägersten,Stockholm,Kyrkogatan 16,59.30774,17.99377,True,2025-12-30,SEK,m²,126350.0
308,hus,köpa,1256571,2210,1,25,50262,Rosengård,Malmö,Storgatan 26,55.58417,13.02521,True,2025-07-25,SEK,m²,50263.0
309,lägenhet,köpa,2291078,2469,2,54,42427,Hyllie,Malmö,Storgatan 8,55.56015,12.98082,False,2026-01-30,SEK,m²,42427.0
310,hus,köpa,10701442,3004,5,90,118904,Solna,Stockholm,Sveavägen 4,59.35665,18.00687,True,2026-04-01,SEK,m²,118905.0
311,hus,köpa,9660136,3808,4,92,105001,Bromma,Stockholm,Hornsgatan 113,59.33891,17.94213,True,2025-05-07,SEK,m²,105001.0
312,lägenhet,hyra,21078,0,6,168,0,Sundbyberg,Stockholm,Parkvägen 111,59.35297,17.96508,False,2026-01-10,SEK,m²,125.0
313,lägenhet,köpa,12909829,7449,5,125,103278,Solna,Stockholm,Parkvägen 82,59.36018,18.00763,True,2025-05-13,SEK,m²,103279.0
314,lägenhet,hyra,14428,0,3,81,0,Rosengård,Malmö,Storgatan 68,55.58731,13.0226,True,2025-05-02,SEK,m²,178.0
315,lägenhet,hyra,11371,0,3,72,0,Rosengård,Malmö,Kungsgatan 57,55.59291,13.04013,False,2025-05-19,SEK,m²,158.0
316,hus,köpa,3913668,2446,4,80,48920,Västra Hamnen,Malmö,Sveavägen 37,55.61987,12.97042,True,2026-02-23,SEK,m²,48921.0
317,lägenhet,hyra,6810,0,2,38,0,Spånga,Stockholm,Bergsgatan 26,59.3775,17.89592,True,2026-02-16,SEK,m²,179.0
318,lägenhet,köpa,11159765,9402,6,150,74398,Centrum,Göteborg,Skolvägen 83,57.70848,11.96469,True,2025-09-11,SEK,m²,74398.0
319,hus,köpa,3247686,2518,4,76,42732,Limhamn,Malmö,Kyrkogatan 53,55.58138,12.93274,True,2026-02-02,SEK,m²,42733.0
320,hus,köpa,3784442,2335,3,75,50459,Hyllie,Malmö,Drottninggatan 44,55.55206,12.97514,False,2025-10-29,SEK,m²,50459.0
321,hus,köpa,3237550,2750,2,40,80938,Farsta,Stockholm,Björkgatan 91,59.24347,18.09081,True,2025-12-15,SEK,m²,80939.0
322,lägenhet,hyra,21936,0,5,130,0,Bromma,Stockholm,Parkvägen 82,59.33769,17.9453,True,2025-07-31,SEK,m²,169.0
323,hus,köpa,2365683,2713,2,42,56325,Majorna,Göteborg,Sveavägen 41,57.69764,11.92857,True,2026-02-02,SEK,m²,56326.0
324,hus,köpa,12459585,2966,6,162,76911,Linnéstaden,Göteborg,Sveavägen 34,57.69099,11.95985,True,2026-01-03,SEK,m²,76911.0
325,hus,köpa,4629301,2755,5,105,44088,Rosengård,Malmö,Hornsgatan 63,55.58167,13.02646,True,2025-07-14,SEK,m²,44089.0
326,lägenhet,köpa,8597126,8789,6,168,51173,Västra Hamnen,Malmö,Parkvägen 24,55.60749,12.98393,True,2025-11-18,SEK,m²,51173.0
327,hus,köpa,1412620,2936,2,44,32105,Rosengård,Malmö,Storgatan 103,55.59304,13.04033,False,2026-03-13,SEK,m²,32105.0
328,hus,köpa,7841904,1879,3,84,93356,Bromma,Stockholm,Sveavägen 86,59.33417,17.93132,False,2025-04-15,SEK,m²,93356.0
329,hus,köpa,2572666,3605,2,56,45940,Västra Hamnen,Malmö,Lindvägen 36,55.61134,12.97746,True,2025-09-01,SEK,m²,45940.0
330,lägenhet,hyra,27218,0,6,168,0,Centrum,Göteborg,Drottninggatan 96,57.7035,11.98351,True,2025-07-18,SEK,m²,162.0
331,lägenhet,köpa,10838052,6694,5,120,90317,Sundbyberg,Stockholm,Storgatan 97,59.35158,17.96859,True,2025-07-03,SEK,m²,90317.0
332,hus,köpa,6382285,3655,2,50,127645,Spånga,Stockholm,Björkgatan 26,59.38975,17.8969,True,2025-05-14,SEK,m²,127646.0
333,hus,köpa,926823,2356,1,18,51490,Västra Hamnen,Malmö,Lindvägen 85,55.60801,12.98359,True,2025-05-09,SEK,m²,51490.0
334,hus,köpa,6775747,3263,3,60,112929,Södermalm,Stockholm,Kyrkogatan 8,59.31823,18.06234,True,2025-08-21,SEK,m²,112929.0
335,lägenhet,köpa,1522153,1583,1,25,60886,Centrum,Göteborg,Lindvägen 41,57.71628,11.98332,True,2025-04-19,SEK,m²,60886.0
336,hus,köpa,7025636,3879,5,140,50183,Hyllie,Malmö,Kyrkogatan 120,55.55909,12.97308,True,2025-04-26,SEK,m²,50183.0
337,lägenhet,hyra,3037,0,1,25,0,Lidingö,Stockholm,Parkvägen 116,59.36433,18.14474,True,2025-06-19,SEK,m²,121.0
338,hus,köpa,3992416,2634,5,95,42025,Rosengård,Malmö,Hornsgatan 18,55.59,13.03467,True,2025-10-29,SEK,m²,42025.0
339,lägenhet,hyra,20485,0,6,156,0,Linnéstaden,Göteborg,Skolvägen 53,57.69663,11.94987,False,2025-04-29,SEK,m²,131.0
340,hus,köpa,10842407,3366,5,125,86739,Södermalm,Stockholm,Skolvägen 114,59.30999,18.06365,True,2025-08-24,SEK,m²,86739.0
341,lägenhet,hyra,16304,0,6,132,0,Hyllie,Malmö,Drottninggatan 68,55.57005,12.96735,True,2025-06-04,SEK,m²,124.0
342,hus,köpa,20956532,3735,6,168,124741,Södermalm,Stockholm,Kyrkogatan 73,59.3186,18.06787,False,2026-03-26,SEK,m²,124741.0
343,hus,köpa,4147927,4321,5,130,31907,Limhamn,Malmö,Storgatan 67,55.58999,12.93045,True,2025-08-19,SEK,m²,31907.0
344,hus,köpa,5894149,2839,3,78,75566,Centrum,Göteborg,Strandvägen 42,57.71689,11.96554,True,2025-09-06,SEK,m²,75566.0
345,hus,köpa,7330595,4253,3,57,128606,Solna,Stockholm,Lindvägen 10,59.35529,17.99141,True,2026-02-09,SEK,m²,128607.0
346,lägenhet,hyra,10722,0,3,60,0,Centrum,Göteborg,Kungsgatan 97,57.70892,11.98136,True,2026-01-05,SEK,m²,179.0
347,lägenhet,hyra,17544,0,4,104,0,Östermalm,Stockholm,Lindvägen 61,59.33184,18.07321,False,2025-07-19,SEK,m²,169.0
348,hus,köpa,7734495,2534,6,168,46038,Rosengård,Malmö,Skolvägen 49,55.59234,13.03006,True,2026-03-22,SEK,m²,46039.0
349,lägenhet,köpa,3439179,4004,2,54,63688,Centrum,Göteborg,Sveavägen 102,57.70418,11.97908,False,2026-01-22,SEK,m²,63688.0
350,lägenhet,köpa,10219224,5555,6,126,81104,Sundbyberg,Stockholm,Björkgatan 104,59.36011,17.97796,True,2026-01-31,SEK,m²,81105.0
351,hus,köpa,3795513,3671,3,84,45184,Hisingen,Göteborg,Kungsgatan 23,57.73549,11.90543,False,2026-03-02,SEK,m²,45185.0
352,lägenhet,hyra,16965,0,4,104,0,Nacka,Stockholm,Björkgatan 11,59.31571,18.16859,True,2026-03-26,SEK,m²,163.0
353,lägenhet,köpa,1153972,1831,1,26,44383,Limhamn,Malmö,Kyrkogatan 60,55.58789,12.92741,False,2025-11-30,SEK,m²,44384.0
354,lägenhet,hyra,3705,0,1,23,0,Kungsholmen,Stockholm,Sveavägen 100,59.3307,18.0382,True,2026-03-13,SEK,m²,161.0
355,hus,köpa,4150245,4489,4,112,37055,Rosengård,Malmö,Kyrkogatan 78,55.59398,13.02567,False,2025-09-18,SEK,m²,37056.0
356,hus,köpa,3060974,3664,2,42,72880,Hisingen,Göteborg,Kyrkogatan 95,57.7314,11.90398,True,2025-07-06,SEK,m²,72880.0
357,hus,köpa,1638843,2059,2,38,43127,Limhamn,Malmö,Strandvägen 62,55.59194,12.92664,False,2026-03-04,SEK,m²,43127.0
358,lägenhet,hyra,6861,0,2,40,0,Hägersten,Stockholm,Lindvägen 30,59.31039,18.00438,True,2025-11-27,SEK,m²,172.0
359,hus,köpa,2368989,3293,1,22,107681,Sundbyberg,Stockholm,Björkgatan 103,59.36296,17.9792,True,2025-07-13,SEK,m²,107681.0
360,lägenhet,hyra,26625,0,6,162,0,Linnéstaden,Göteborg,Kyrkogatan 111,57.69028,11.94635,True,2025-08-06,SEK,m²,164.0
361,hus,köpa,3944070,2060,4,108,36519,Rosengård,Malmö,Strandvägen 44,55.58564,13.02829,True,2026-03-12,SEK,m²,36519.0
362,hus,köpa,11189951,1759,6,168,66606,Centrum,Göteborg,Lindvägen 58,57.71772,11.97441,True,2025-08-26,SEK,m²,66607.0
363,lägenhet,köpa,7733261,5113,4,84,92062,Östermalm,Stockholm,Strandvägen 45,59.34627,18.07121,False,2026-02-08,SEK,m²,92063.0
364,hus,köpa,5447630,3414,4,112,48639,Västra Hamnen,Malmö,Storgatan 18,55.61421,12.96824,True,2025-05-29,SEK,m²,48640.0
365,lägenhet,köpa,8320196,5651,6,132,63031,Hisingen,Göteborg,Drottninggatan 22,57.72579,11.90028,True,2026-03-26,SEK,m²,63032.0
